flight_id,event_time,longitude,latitude,altitude,speed,on_ground,vert_speed
e51d2a1,2017-08-02T10:46:33Z,24.74069,58.75746,39975,444,0,-64
e51e68c,2017-08-02T10:46:38Z,-22.3413,37.0854,35000,501,0,0
e51e2e8,2017-08-02T11:01:54Z,-22.6113,59.62151,37000,509,0,0
e51e2e8,2017-08-02T10:46:37Z,-26.5511,60.42169,37000,502,0,0
e528944,2017-08-02T10:48:57Z,25.33148,38.83728,40000,488,0,-64
e51e2e8,2017-08-02T10:46:52Z,-26.48784,60.41002,37000,502,0,0
e52c43d,2017-08-02T11:03:23Z,16.07601,45.74024,0,0,1,0
e528944,2017-08-02T11:03:45Z,23.7276,40.40858,40000,482,0,-128
e52b165,2017-08-02T10:50:32Z,-22.44886,64.06518,5225,271,0,3904
e528944,2017-08-02T11:05:21Z,23.55165,40.57522,39975,480,0,0
e52b165,2017-08-02T11:04:41Z,-19.44052,63.50456,30650,432,0,896
e51e2e8,2017-08-02T10:51:19Z,-25.32055,60.18814,37000,504,0,0
e52b165,2017-08-02T10:49:37Z,-22.5901,64.05157,2500,240,0,1152
e5259c3,2017-08-02T10:49:57Z,29.89256,42.46582,40000,484,0,0
e529378,2017-08-02T10:52:00Z,23.54985,43.49748,36000,484,0,64
e51d2a1,2017-08-02T11:06:53Z,20.45124,57.73349,39975,442,0,-64
e528944,2017-08-02T11:06:54Z,23.38066,40.73615,40000,482,0,-64
e5259c3,2017-08-02T11:08:46Z,27.09543,43.9466,40000,481,0,0
e51ab21,2017-08-02T10:54:21Z,28.54694,59.5013,36000,394,0,0
e51d2a1,2017-08-02T11:10:21Z,19.7296,57.55468,40000,444,0,-64
e51e2e8,2017-08-02T10:54:02Z,-24.61306,60.0471,37000,501,0,0
e51ab21,2017-08-02T11:09:41Z,25.48412,58.92234,36000,407,0,0
e51ab21,2017-08-02T11:10:42Z,25.28277,58.87826,36000,409,0,0
e51d2a1,2017-08-02T11:12:33Z,19.27348,57.4389,40000,447,0,-64
e529378,2017-08-02T10:58:24Z,22.53283,43.90882,36000,471,0,0
e51e68c,2017-08-02T10:58:23Z,-21.23383,38.51244,35000,500,0,0
e529378,2017-08-02T11:12:32Z,20.55938,45.04968,36000,457,0,0
e529378,2017-08-02T11:12:53Z,20.51108,45.07649,36000,457,0,0
e529378,2017-08-02T10:57:45Z,22.62366,43.85137,36000,474,0,0
e529378,2017-08-02T10:58:45Z,22.48442,43.93945,36000,470,0,0
e5259c3,2017-08-02T11:13:52Z,26.32888,44.33144,40000,476,0,0
e51e68c,2017-08-02T11:00:19Z,-21.04311,38.7426,35000,500,0,0
e51ab21,2017-08-02T10:59:24Z,27.52113,59.3444,36000,393,0,-64
e529378,2017-08-02T11:01:37Z,22.0852,44.17645,36000,469,0,0
e51e2e8,2017-08-02T11:00:50Z,-22.91639,59.69056,37000,507,0,0
e529378,2017-08-02T11:09:37Z,20.96889,44.81998,36000,461,0,0
e51ab21,2017-08-02T11:15:10Z,24.38673,58.67674,36000,410,0,0
e529378,2017-08-02T11:10:01Z,20.91477,44.85046,36000,461,0,0
e528944,2017-08-02T11:10:01Z,23.03764,41.05596,40000,466,0,0
e5259c3,2017-08-02T11:11:22Z,26.70764,44.14536,40000,474,0,0
e51d2a1,2017-08-02T11:16:49Z,18.39954,57.21042,40000,442,0,-64
e529378,2017-08-02T11:01:55Z,22.04366,44.20098,36000,469,0,0
e51d2a1,2017-08-02T11:04:05Z,21.02976,57.87691,40000,441,0,-64
e51ab21,2017-08-02T11:03:04Z,26.79923,59.1997,36000,394,0,0
e51e2e8,2017-08-02T11:05:43Z,-21.78092,59.44038,37000,509,0,0
e51d2a1,2017-08-02T11:18:25Z,18.07589,57.1235,40000,440,0,0
e528944,2017-08-02T11:13:53Z,22.54714,41.39165,39975,466,0,-64
e529378,2017-08-02T11:07:13Z,21.30758,44.62744,36000,458,0,0
e51d2a1,2017-08-02T11:14:48Z,18.80806,57.31829,40000,446,0,0
e51d2a1,2017-08-02T11:05:05Z,20.82258,57.82604,39975,440,0,0
e528944,2017-08-02T11:20:21Z,21.71716,41.9397,39975,458,0,-64
e51d2a1,2017-08-02T11:08:08Z,20.18844,57.66854,40000,443,0,-64
e51e68c,2017-08-02T11:08:03Z,-20.27134,39.56309,35000,503,0,0
e51d2a1,2017-08-02T11:05:41Z,20.69688,57.79489,40000,441,0,-64
e52c43d,2017-08-02T11:09:06Z,16.06796,45.73981,0,17,1,0
e528944,2017-08-02T11:21:33Z,21.56516,42.0385,39975,455,0,-64
e52c43d,2017-08-02T11:06:32Z,16.07526,45.74099,0,0,1,0
e51ab21,2017-08-02T11:05:58Z,26.22247,59.08034,36000,397,0,0
e52b165,2017-08-02T11:05:57Z,-19.1362,63.43948,32375,426,0,1152
e51ab21,2017-08-02T11:21:14Z,23.19374,58.39531,36000,407,0,0
e51ab21,2017-08-02T11:09:05Z,25.6044,58.94845,36000,404,0,0
e51d2a1,2017-08-02T11:10:00Z,19.80215,57.57288,40000,443,0,0
e529378,2017-08-02T11:17:43Z,19.83092,45.44998,36000,450,0,64
e52cd13,2017-08-02T11:30:39Z,19.26268,47.43997,0,0,1,0
e525890,2017-08-02T11:31:03Z,5.96741,38.02342,40000,512,0,0
e51ab21,2017-08-02T11:22:53Z,22.87326,58.31711,36000,407,0,0
e52cda9,2017-08-02T11:31:01Z,-3.5742,40.49183,0,20,1,0
e51d2a1,2017-08-02T11:10:57Z,19.60364,57.52291,39975,444,0,-64
e528944,2017-08-02T11:18:42Z,21.93134,41.79982,40000,461,0,0
e52c43d,2017-08-02T11:32:30Z,13.99563,46.77592,34400,432,0,1216
e528944,2017-08-02T11:11:53Z,22.80366,41.2186,39975,468,0,0
e52cda9,2017-08-02T11:32:28Z,-3.57488,40.52179,2400,177,0,2816
e528944,2017-08-02T11:12:32Z,22.71925,41.27546,40000,465,0,0
e51d2a1,2017-08-02T11:12:54Z,19.1999,57.42,39975,447,0,0
e52b165,2017-08-02T11:33:13Z,-12.71284,61.82992,35025,463,0,0
e52b165,2017-08-02T11:09:40Z,-18.24987,63.24486,35000,437,0,0
e52cd13,2017-08-02T11:33:13Z,19.26393,47.4406,0,21,1,0
e52d678,2017-08-02T11:33:34Z,11.2786,44.53914,175,175,0,2176
